Question,Answer
Do you accept M‑Pesa?,"Yup, you can totally pay with M‑Pesa! We also take cards and cash."
Is there free WiFi?,Absolutely! Just ask our waiter for the WiFi password when you’re seated.
Do you have vegetarian or vegan options?,"Sure do! Try our Veggie Burger, salads, or smoothies. We’ve got a few vegan choices too."
Do you take reservations?,Yup! You can reserve a table by calling +254 722 123 456 or booking online.
Is there parking available?,"Yes, there’s some parking outside, plus street parking nearby."
What is the cancellation policy for reservations?,No problem! Just let us know at least 2 hours before your booking to cancel or reschedule.
Can I host a meeting there? 😊,Sure! We’ve got cozy corners perfect for meetings.
What’s your signature coffee? 😊,Our Java House Double Latte is a must‑try!
Are pets allowed?,"Sorry, not indoors – but our outdoor seating welcomes small pets."
Can I book for a birthday party?,Absolutely! We love birthdays. Call ahead to reserve a section. We’ll be happy to help!
Do you have sugar‑free drinks? 😊,"Yes, we’ve got sugar‑free juices and coffees on request."
Do you have loyalty cards? 😊,Yup! Earn points every time you dine with us.
Do you have loyalty cards?,Yup! Earn points every time you dine with us.
Can I order online?,"Yup! You can order through Glovo, Uber Eats, or our website. We’ll be happy to help!"
Can I charge my phone there? 😊,"Sure, there are charging outlets at most tables."
Can I order online? 😊,"Yup! You can order through Glovo, Uber Eats, or our website."
Can I get takeaway? 😊,Absolutely. Just ask for your meal to go!
Can I pre‑order food for pickup?,Sure thing! Call ahead and we’ll have it ready for you.
Can I charge my phone there? 😊,"Sure, there are charging outlets at most tables."
Can I customize my order?,Of course! Just let us know how you like it.
Do you have loyalty cards? 😊,Yup! Earn points every time you dine with us.
Can I pre‑order food for pickup?,Sure thing! Call ahead and we’ll have it ready for you.
What’s your most popular meal?,Our Classic Burger and Chicken Curry are crowd favorites!
Do you offer kids’ meals?,"Sure! We’ve got mini burgers, fries, and milkshakes for the little ones."
Do you accept card payments? 😊,"Yes, all major cards are accepted – Visa, MasterCard, and more."
Can I pre‑order food for pickup? 😊,Sure thing! Call ahead and we’ll have it ready for you.
Are pets allowed? 😊,"Sorry, not indoors – but our outdoor seating welcomes small pets."
Can I host a meeting there? 😊,Sure! We’ve got cozy corners perfect for meetings.
Do you have loyalty cards?,Yup! Earn points every time you dine with us. We’ll be happy to help!
Do you accept card payments? 😊,"Yes, all major cards are accepted – Visa, MasterCard, and more."
Do you offer gift vouchers?,"Yup, we do! Great idea for birthdays and anniversaries."
Do you recycle or use eco‑friendly packaging?,We do our best! Most of our packaging is recyclable or biodegradable. We’ll be happy to help!
What’s your most popular meal?,Our Classic Burger and Chicken Curry are crowd favorites!
Do you offer kids’ meals? 😊,"Sure! We’ve got mini burgers, fries, and milkshakes for the little ones."
Do you offer gift vouchers? 😊,"Yup, we do! Great idea for birthdays and anniversaries."
Do you accept card payments?,"Yes, all major cards are accepted – Visa, MasterCard, and more."
Do you serve local dishes? 😊,Yup! You’ll find Kenyan favorites like nyama choma and ugali on special days. We’ll be happy to help!
Do you have loyalty cards?,Yup! Earn points every time you dine with us.
Can I pay with M‑Pesa?,Definitely! Just use our till number at checkout.
What’s your signature coffee?,Our Java House Double Latte is a must‑try! We’ll be happy to help!
Do you have daily specials? 😊,Yes! Check out our Lunch Boost and Coffee & Cake promos. We’ll be happy to help!
Can I customize my order? 😊,Of course! Just let us know how you like it. We’ll be happy to help!
Are pets allowed?,"Sorry, not indoors – but our outdoor seating welcomes small pets. We’ll be happy to help!"
Do you accept card payments?,"Yes, all major cards are accepted – Visa, MasterCard, and more."
Can I order online?,"Yup! You can order through Glovo, Uber Eats, or our website."
Do you serve breakfast?,Yes! We serve breakfast all day – from pancakes to omelets. We’ll be happy to help!
Do you have loyalty cards?,Yup! Earn points every time you dine with us.
Can I get takeaway? 😊,Absolutely. Just ask for your meal to go!
Do you give change in cash? 😊,"Yup, we do. Just ask your server if you need change."
Is your food halal? 😊,"Yes, most of our meats are halal certified."
Do you serve alcohol?,"Nope, we’re all about great coffee, smoothies, and milkshakes! We’ll be happy to help!"
Can I host a meeting there? 😊,Sure! We’ve got cozy corners perfect for meetings.
Do you do catering? 😊,"Yes, we cater for small and medium events around Nairobi."
Do you serve alcohol?,"Nope, we’re all about great coffee, smoothies, and milkshakes!"
Do you offer student discounts?,Sometimes! Keep an eye on our social media for offers.
Do you have daily specials? 😊,Yes! Check out our Lunch Boost and Coffee & Cake promos.
Can I charge my phone there? 😊,"Sure, there are charging outlets at most tables. We’ll be happy to help!"
Can I book for a birthday party?,Absolutely! We love birthdays. Call ahead to reserve a section. We’ll be happy to help!
Do you have daily specials?,Yes! Check out our Lunch Boost and Coffee & Cake promos.
Do you have loyalty cards?,Yup! Earn points every time you dine with us. We’ll be happy to help!
Do you have daily specials?,Yes! Check out our Lunch Boost and Coffee & Cake promos. We’ll be happy to help!
Do you offer student discounts?,Sometimes! Keep an eye on our social media for offers.
Do you have sugar‑free drinks?,"Yes, we’ve got sugar‑free juices and coffees on request."
Do you offer gift vouchers? 😊,"Yup, we do! Great idea for birthdays and anniversaries."
Are pets allowed?,"Sorry, not indoors – but our outdoor seating welcomes small pets."
Do you offer student discounts?,Sometimes! Keep an eye on our social media for offers. We’ll be happy to help!
Do you offer kids’ meals? 😊,"Sure! We’ve got mini burgers, fries, and milkshakes for the little ones."
What’s your signature coffee?,Our Java House Double Latte is a must‑try! We’ll be happy to help!
Do you offer gift vouchers?,"Yup, we do! Great idea for birthdays and anniversaries. We’ll be happy to help!"
What’s your most popular meal?,Our Classic Burger and Chicken Curry are crowd favorites! We’ll be happy to help!
What’s your signature coffee? 😊,Our Java House Double Latte is a must‑try!
Do you have loyalty cards? 😊,Yup! Earn points every time you dine with us.
Can I book for a birthday party?,Absolutely! We love birthdays. Call ahead to reserve a section. We’ll be happy to help!
Do you have daily specials?,Yes! Check out our Lunch Boost and Coffee & Cake promos. We’ll be happy to help!
Can I customize my order?,Of course! Just let us know how you like it.
Can I pay with M‑Pesa?,Definitely! Just use our till number at checkout.
Are pets allowed?,"Sorry, not indoors – but our outdoor seating welcomes small pets."
What’s your most popular meal?,Our Classic Burger and Chicken Curry are crowd favorites!
Can I customize my order? 😊,Of course! Just let us know how you like it. We’ll be happy to help!
Do you give change in cash? 😊,"Yup, we do. Just ask your server if you need change. We’ll be happy to help!"
Do you give change in cash? 😊,"Yup, we do. Just ask your server if you need change."
Do you give change in cash?,"Yup, we do. Just ask your server if you need change."
Can I customize my order? 😊,Of course! Just let us know how you like it.
Do you serve breakfast?,Yes! We serve breakfast all day – from pancakes to omelets.
What’s your signature coffee? 😊,Our Java House Double Latte is a must‑try!
Do you have sugar‑free drinks?,"Yes, we’ve got sugar‑free juices and coffees on request."
Do you serve alcohol? 😊,"Nope, we’re all about great coffee, smoothies, and milkshakes!"
Can I order online?,"Yup! You can order through Glovo, Uber Eats, or our website."
Do you do deliveries?,"Yes, we deliver through Uber Eats and Glovo around Nairobi."
Can I charge my phone there?,"Sure, there are charging outlets at most tables."
Do you serve local dishes? 😊,Yup! You’ll find Kenyan favorites like nyama choma and ugali on special days. We’ll be happy to help!
What’s your most popular meal?,Our Classic Burger and Chicken Curry are crowd favorites!
Is your food halal? 😊,"Yes, most of our meats are halal certified. We’ll be happy to help!"
Do you have daily specials?,Yes! Check out our Lunch Boost and Coffee & Cake promos.
Do you serve alcohol? 😊,"Nope, we’re all about great coffee, smoothies, and milkshakes!"
Do you serve alcohol? 😊,"Nope, we’re all about great coffee, smoothies, and milkshakes! We’ll be happy to help!"
What’s your signature coffee?,Our Java House Double Latte is a must‑try!
Can I book for a birthday party? 😊,Absolutely! We love birthdays. Call ahead to reserve a section.
Do you do catering? 😊,"Yes, we cater for small and medium events around Nairobi."
Can I book for a birthday party?,Absolutely! We love birthdays. Call ahead to reserve a section.
Do you have sugar‑free drinks?,"Yes, we’ve got sugar‑free juices and coffees on request."
Can I order online? 😊,"Yup! You can order through Glovo, Uber Eats, or our website."
Do you do deliveries?,"Yes, we deliver through Uber Eats and Glovo around Nairobi."
Do you offer kids’ meals? 😊,"Sure! We’ve got mini burgers, fries, and milkshakes for the little ones."
Can I book for a birthday party?,Absolutely! We love birthdays. Call ahead to reserve a section. We’ll be happy to help!
Do you have sugar‑free drinks?,"Yes, we’ve got sugar‑free juices and coffees on request. We’ll be happy to help!"
Can I pre‑order food for pickup?,Sure thing! Call ahead and we’ll have it ready for you.
Can I pre‑order food for pickup? 😊,Sure thing! Call ahead and we’ll have it ready for you.
Do you have loyalty cards?,Yup! Earn points every time you dine with us.
Can I charge my phone there?,"Sure, there are charging outlets at most tables. We’ll be happy to help!"
Do you have loyalty cards? 😊,Yup! Earn points every time you dine with us.
Do you serve local dishes? 😊,Yup! You’ll find Kenyan favorites like nyama choma and ugali on special days.
Is your food halal?,"Yes, most of our meats are halal certified. We’ll be happy to help!"
Do you do catering? 😊,"Yes, we cater for small and medium events around Nairobi."
Are pets allowed?,"Sorry, not indoors – but our outdoor seating welcomes small pets. We’ll be happy to help!"
Do you have daily specials? 😊,Yes! Check out our Lunch Boost and Coffee & Cake promos.
What’s your most popular meal? 😊,Our Classic Burger and Chicken Curry are crowd favorites!
Can I order online? 😊,"Yup! You can order through Glovo, Uber Eats, or our website."
Do you serve local dishes?,Yup! You’ll find Kenyan favorites like nyama choma and ugali on special days. We’ll be happy to help!
Is your food halal?,"Yes, most of our meats are halal certified."
Do you have loyalty cards? 😊,Yup! Earn points every time you dine with us. We’ll be happy to help!
Do you offer gift vouchers?,"Yup, we do! Great idea for birthdays and anniversaries."
Can I pre‑order food for pickup?,Sure thing! Call ahead and we’ll have it ready for you. We’ll be happy to help!
Do you serve local dishes? 😊,Yup! You’ll find Kenyan favorites like nyama choma and ugali on special days.
Can I charge my phone there?,"Sure, there are charging outlets at most tables. We’ll be happy to help!"
Can I pre‑order food for pickup? 😊,Sure thing! Call ahead and we’ll have it ready for you. We’ll be happy to help!
Can I customize my order? 😊,Of course! Just let us know how you like it.
Can I pay with M‑Pesa?,Definitely! Just use our till number at checkout.
