Category,Item,Price (KES),Estimated Prep Time (mins),Tags / Dietary Info
Snacks & Starters,Giant Beef Samosa,320,8,"Contains Meat, Contains Wheat"
Snacks & Starters,Chicken Pie,350,10,"Contains Meat, Contains Wheat"
Burgers,Classic Smash Burger,1140,15,"Contains Meat, Contains Dairy, Contains Wheat"
Burgers,Veggie Burger,780,15,"Vegetarian, Contains Dairy, Contains Wheat"
Tex‑Mex,Chicken Quesadilla,1080,12,"Contains Meat, Contains Dairy, Contains Wheat"
Signature Dish,Java Special Chicken Curry,1110,20,Contains Meat
Salads,Crispy Chicken Breast Salad,950,12,"Contains Meat, Contains Nuts"
Desserts,Chocolate Fudge Cake,480,7,"Vegetarian, Contains Dairy, Contains Wheat, Contains Eggs"
Drinks,Double Vanilla Latte,400,5,"Vegetarian, Contains Dairy"
Breakfast,Sweet Crepes Combo,"1,240",12,"Contains Dairy, Contains Wheat, Contains Eggs"
Breakfast,Fruit Salad (plain),550,5,"Vegetarian, Vegan"
Breakfast,"Fruit Salad with Yogurt, Honey & Nuts",770,5,"Vegetarian, Contains Nuts, Contains Dairy, Contains Honey"
Breakfast,Hot Oatmeal Porridge Half Serve,360,5,"Vegetarian, Contains Dairy, Contains Nuts"
Breakfast,Hot Oatmeal Porridge Full Serve,750,8,"Vegetarian, Contains Dairy, Contains Nuts"
Breakfast,Homemade Granola,350,5,"Vegetarian, Contains Nuts"
Breakfast,Homemade Granola with Yogurt & Honey/Grapes,740,6,"Vegetarian, Contains Nuts, Contains Dairy, Contains Honey"
Breakfast,Al a Carte Sweet Crepes,300,7,"Contains Dairy, Contains Wheat, Contains Eggs"
Breakfast,Single Fluffy Homemade Pancake,380,7,"Vegetarian, Contains Dairy, Contains Wheat, Contains Eggs"
Breakfast,Classic Pancakes,780,10,"Vegetarian, Contains Dairy, Contains Wheat, Contains Eggs"
Breakfast,Pancakes Combo,"1,070",12,"Vegetarian, Contains Dairy, Contains Wheat, Contains Eggs"
Breakfast,Al a Carte French Toast,620,8,"Vegetarian, Contains Dairy, Contains Wheat, Contains Eggs"
Breakfast,French Toast Combo,"1,260",12,"Vegetarian, Contains Dairy, Contains Wheat, Contains Eggs"
Breakfast,Homefry Heaven,950,10,"Vegetarian, Contains Dairy"
Breakfast,Eggs The Way You Like,570,7,"Vegetarian, Contains Eggs, Contains Dairy"
Breakfast,Eggs The Way You Like with Chips/Homefries,740,10,"Vegetarian, Contains Eggs, Contains Dairy"
Breakfast,Eggs The Way You Like with Beef Sausage,960,12,"Contains Meat, Contains Eggs, Contains Dairy"
Breakfast,Breakfast Sandwiches - Egg & Cheese,740,7,"Vegetarian, Contains Eggs, Contains Dairy"
Breakfast,Breakfast Sandwiches - Egg & Cheese with Beef Sausage,880,8,"Contains Meat, Contains Eggs, Contains Dairy"
Breakfast,Breakfast Sandwich Combo,"1,260",12,"Contains Meat, Contains Eggs, Contains Dairy"
Breakfast,Egg & Veg Omelette Combo,"1,260",12,"Vegetarian, Contains Eggs, Contains Dairy"
Breakfast,Breakfast Maxi Combo,"1,260",15,"Contains Meat, Contains Eggs, Contains Dairy"
Breakfast,Steak and Eggs,"1,260",15,"Contains Meat, Contains Eggs, Contains Dairy"
Breakfast,Full Java Breakfast Combo,"1,360",15,"Contains Meat, Contains Eggs, Contains Dairy"
Breakfast,Egg & Cheese Burrito,"1,030",12,"Vegetarian, Contains Eggs, Contains Dairy"
Breakfast,Omelette Plain,740,8,"Vegetarian, Contains Eggs"
Breakfast,Omelette Spanish,880,8,"Vegetarian, Contains Eggs"
Breakfast,"Omelette Mushroom, Basil & Cheese",980,10,"Vegetarian, Contains Eggs, Contains Dairy"
Breakfast,Omelette Denver,980,10,"Contains Meat, Contains Eggs, Contains Dairy"
Breakfast,Build Your Own Omelette - Cheese,230,2,Vegetarian
Breakfast,Build Your Own Omelette - Beef Sausage,340,2,"Vegetarian, Contains Eggs"
Breakfast,Build Your Own Omelette - Tomato,70,1,"Vegetarian, Contains Eggs, Contains Dairy, Contains Tomato"
Breakfast,Build Your Own Omelette - Onions,70,1,"Vegetarian, Contains Eggs, Contains Dairy, Contains Onion"
Breakfast,Build Your Own Omelette - Bell Pepper,70,1,"Vegetarian, Contains Eggs, Contains Dairy, Contains Bell Pepper"
Breakfast,Build Your Own Omelette - Mushrooms,210,2,"Vegetarian, Contains Dairy, Contains Eggs, Contains Mushrooms"
Sides,Baked Beans,180,5,Vegetarian
Sides,One Egg,190,3,"Vegetarian, Contains Eggs"
Sides,Salsa,190,2,Vegetarian
Sides,Toast,190,2,"Vegetarian, Contains Wheat"
Sides,Honey Peanuts,230,1,"Vegetarian, Contains Nuts, Contains Honey"
Sides,Guacamole,230,3,"Vegetarian, Vegan"
Sides,Parsley Wedges,310,5,"Vegetarian, Vegan"
Sides,Homefries,320,7,"Vegetarian, Vegan"
Sides,Sukumawiki,360,7,"Vegetarian, Vegan"
Sides,Cashew Nuts,390,1,"Vegetarian, Contains Nuts"
Sides,2 Beef Sausages,430,5,Contains Meat
Sides,Grilled Onions,150,3,",Vegeterian,Contains Onions"
Sides,Avocado,170,2,Vegetarian
Sides,Charred Bell Peppers,180,3,"Vegeterian,Contains Bell Peppers"
Sides,Mushroom Sauce,210,3,"Vegetarian, Vegan"
Sides,Gherkins,220,1,"Vegetarian, Contains Dairy"
Sides,Cheese,220,1,"Vegetarian, Vegan"
Sides,Chapati (2),270,5,"Vegetarian, Vegan, Contains Wheat"
Sides,Mashed Potatoes,310,5,"Vegetarian, Contains Dairy"
Sides,White Rice,310,5,"Vegetarian, Vegan"
Sides,Mexican Beans,310,5,"Vegetarian, Vegan"
Sides,Stir Fried Rice,320,6,"Vegetarian, May contain Eggs/Dairy depending on recipe"
Sides,Mexican Rice,320,6,"Vegetarian, Vegan"
Sides,Steamed Vegetables,360,5,"Vegetarian, Vegan"
Wraps & Sandwiches,Crunchy Chicken Strip Wrap,"1,140",12,"Contains Meat, Contains Dairy, Contains Wheat"
Wraps & Sandwiches,Halloumi & Avocado Wrap,"1,050",10,"Vegetarian, Contains Dairy, Contains Wheat"
Wraps & Sandwiches,Chicken Fajita Wrap,"1,190",12,"Contains Meat, Contains Dairy, Contains Wheat"
Wraps & Sandwiches,California Chicken Wrap,"1,190",12,"Contains Meat, Contains Dairy, Contains Wheat"
Wraps & Sandwiches,BBQ Chicken & Cheese Wrap,"1,160",12,"Vegetarian, Contains Dairy, Contains Wheat"
Wraps & Sandwiches,Grilled Cheese Sandwich,880,7,"Vegetarian, Contains Dairy, Contains Wheat"
Wraps & Sandwiches,"Avocado, Cheese & Tomato Sandwich",890,7,"Vegetarian, Contains Dairy, Contains Wheat"
Wraps & Sandwiches,Chicken & Cheese Sandwich,890,8,"Contains Meat, Contains Dairy, Contains Wheat"
Wraps & Sandwiches,BBQ Chicken Club,890,8,"Contains Meat, Contains Dairy, Contains Wheat"
Wraps & Sandwiches,Vegetable & Halloumi Panini,"1,070",10,"Vegetarian, Contains Dairy, Contains Wheat"
Wraps & Sandwiches,Grilled Veggie Sandwich with Red Pepper Spread,"1,080",10,"Vegetarian, Contains Dairy, Contains Wheat"
