Category,Name / Question,Details / Answer,Price_KES,Tags_Dietary_Info,Estimated_Prep_Time_mins
Menu,Giant Beef Samosa,"Giant Beef Samosa: Price is 320 KES, prep time is 8 mins, dietary info: Contains Meat, Contains Wheat.",320,"Contains Meat, Contains Wheat",8.0
Menu,Chicken Pie,"Chicken Pie: Price is 350 KES, prep time is 10 mins, dietary info: Contains Meat, Contains Wheat.",350,"Contains Meat, Contains Wheat",10.0
Menu,Classic Smash Burger,"Classic Smash Burger: Price is 1140 KES, prep time is 15 mins, dietary info: Contains Meat, Contains Dairy, Contains Wheat.",1140,"Contains Meat, Contains Dairy, Contains Wheat",15.0
Menu,Veggie Burger,"Veggie Burger: Price is 780 KES, prep time is 15 mins, dietary info: Vegetarian, Contains Dairy, Contains Wheat.",780,"Vegetarian, Contains Dairy, Contains Wheat",15.0
Menu,Chicken Quesadilla,"Chicken Quesadilla: Price is 1080 KES, prep time is 12 mins, dietary info: Contains Meat, Contains Dairy, Contains Wheat.",1080,"Contains Meat, Contains Dairy, Contains Wheat",12.0
Menu,Java Special Chicken Curry,"Java Special Chicken Curry: Price is 1110 KES, prep time is 20 mins, dietary info: Contains Meat.",1110,Contains Meat,20.0
Menu,Crispy Chicken Breast Salad,"Crispy Chicken Breast Salad: Price is 950 KES, prep time is 12 mins, dietary info: Contains Meat, Contains Nuts.",950,"Contains Meat, Contains Nuts",12.0
Menu,Chocolate Fudge Cake,"Chocolate Fudge Cake: Price is 480 KES, prep time is 7 mins, dietary info: Vegetarian, Contains Dairy, Contains Wheat, Contains Eggs.",480,"Vegetarian, Contains Dairy, Contains Wheat, Contains Eggs",7.0
Menu,Double Vanilla Latte,"Double Vanilla Latte: Price is 400 KES, prep time is 5 mins, dietary info: Vegetarian, Contains Dairy.",400,"Vegetarian, Contains Dairy",5.0
Menu,Sweet Crepes Combo,"Sweet Crepes Combo: Price is 1,240 KES, prep time is 12 mins, dietary info: Contains Dairy, Contains Wheat, Contains Eggs.","1,240","Contains Dairy, Contains Wheat, Contains Eggs",12.0
Menu,Fruit Salad (plain),"Fruit Salad (plain): Price is 550 KES, prep time is 5 mins, dietary info: Vegetarian, Vegan.",550,"Vegetarian, Vegan",5.0
Menu,"Fruit Salad with Yogurt, Honey & Nuts","Fruit Salad with Yogurt, Honey & Nuts: Price is 770 KES, prep time is 5 mins, dietary info: Vegetarian, Contains Nuts, Contains Dairy, Contains Honey.",770,"Vegetarian, Contains Nuts, Contains Dairy, Contains Honey",5.0
Menu,Hot Oatmeal Porridge Half Serve,"Hot Oatmeal Porridge Half Serve: Price is 360 KES, prep time is 5 mins, dietary info: Vegetarian, Contains Dairy, Contains Nuts.",360,"Vegetarian, Contains Dairy, Contains Nuts",5.0
Menu,Hot Oatmeal Porridge Full Serve,"Hot Oatmeal Porridge Full Serve: Price is 750 KES, prep time is 8 mins, dietary info: Vegetarian, Contains Dairy, Contains Nuts.",750,"Vegetarian, Contains Dairy, Contains Nuts",8.0
Menu,Homemade Granola,"Homemade Granola: Price is 350 KES, prep time is 5 mins, dietary info: Vegetarian, Contains Nuts.",350,"Vegetarian, Contains Nuts",5.0
Menu,Homemade Granola with Yogurt & Honey/Grapes,"Homemade Granola with Yogurt & Honey/Grapes: Price is 740 KES, prep time is 6 mins, dietary info: Vegetarian, Contains Nuts, Contains Dairy, Contains Honey.",740,"Vegetarian, Contains Nuts, Contains Dairy, Contains Honey",6.0
Menu,Al a Carte Sweet Crepes,"Al a Carte Sweet Crepes: Price is 300 KES, prep time is 7 mins, dietary info: Contains Dairy, Contains Wheat, Contains Eggs.",300,"Contains Dairy, Contains Wheat, Contains Eggs",7.0
Menu,Single Fluffy Homemade Pancake,"Single Fluffy Homemade Pancake: Price is 380 KES, prep time is 7 mins, dietary info: Vegetarian, Contains Dairy, Contains Wheat, Contains Eggs.",380,"Vegetarian, Contains Dairy, Contains Wheat, Contains Eggs",7.0
Menu,Classic Pancakes,"Classic Pancakes: Price is 780 KES, prep time is 10 mins, dietary info: Vegetarian, Contains Dairy, Contains Wheat, Contains Eggs.",780,"Vegetarian, Contains Dairy, Contains Wheat, Contains Eggs",10.0
Menu,Pancakes Combo,"Pancakes Combo: Price is 1,070 KES, prep time is 12 mins, dietary info: Vegetarian, Contains Dairy, Contains Wheat, Contains Eggs.","1,070","Vegetarian, Contains Dairy, Contains Wheat, Contains Eggs",12.0
Menu,Al a Carte French Toast,"Al a Carte French Toast: Price is 620 KES, prep time is 8 mins, dietary info: Vegetarian, Contains Dairy, Contains Wheat, Contains Eggs.",620,"Vegetarian, Contains Dairy, Contains Wheat, Contains Eggs",8.0
Menu,French Toast Combo,"French Toast Combo: Price is 1,260 KES, prep time is 12 mins, dietary info: Vegetarian, Contains Dairy, Contains Wheat, Contains Eggs.","1,260","Vegetarian, Contains Dairy, Contains Wheat, Contains Eggs",12.0
Menu,Homefry Heaven,"Homefry Heaven: Price is 950 KES, prep time is 10 mins, dietary info: Vegetarian, Contains Dairy.",950,"Vegetarian, Contains Dairy",10.0
Menu,Eggs The Way You Like,"Eggs The Way You Like: Price is 570 KES, prep time is 7 mins, dietary info: Vegetarian, Contains Eggs, Contains Dairy.",570,"Vegetarian, Contains Eggs, Contains Dairy",7.0
Menu,Eggs The Way You Like with Chips/Homefries,"Eggs The Way You Like with Chips/Homefries: Price is 740 KES, prep time is 10 mins, dietary info: Vegetarian, Contains Eggs, Contains Dairy.",740,"Vegetarian, Contains Eggs, Contains Dairy",10.0
Menu,Eggs The Way You Like with Beef Sausage,"Eggs The Way You Like with Beef Sausage: Price is 960 KES, prep time is 12 mins, dietary info: Contains Meat, Contains Eggs, Contains Dairy.",960,"Contains Meat, Contains Eggs, Contains Dairy",12.0
Menu,Breakfast Sandwiches - Egg & Cheese,"Breakfast Sandwiches - Egg & Cheese: Price is 740 KES, prep time is 7 mins, dietary info: Vegetarian, Contains Eggs, Contains Dairy.",740,"Vegetarian, Contains Eggs, Contains Dairy",7.0
Menu,Breakfast Sandwiches - Egg & Cheese with Beef Sausage,"Breakfast Sandwiches - Egg & Cheese with Beef Sausage: Price is 880 KES, prep time is 8 mins, dietary info: Contains Meat, Contains Eggs, Contains Dairy.",880,"Contains Meat, Contains Eggs, Contains Dairy",8.0
Menu,Breakfast Sandwich Combo,"Breakfast Sandwich Combo: Price is 1,260 KES, prep time is 12 mins, dietary info: Contains Meat, Contains Eggs, Contains Dairy.","1,260","Contains Meat, Contains Eggs, Contains Dairy",12.0
Menu,Egg & Veg Omelette Combo,"Egg & Veg Omelette Combo: Price is 1,260 KES, prep time is 12 mins, dietary info: Vegetarian, Contains Eggs, Contains Dairy.","1,260","Vegetarian, Contains Eggs, Contains Dairy",12.0
Menu,Breakfast Maxi Combo,"Breakfast Maxi Combo: Price is 1,260 KES, prep time is 15 mins, dietary info: Contains Meat, Contains Eggs, Contains Dairy.","1,260","Contains Meat, Contains Eggs, Contains Dairy",15.0
Menu,Steak and Eggs,"Steak and Eggs: Price is 1,260 KES, prep time is 15 mins, dietary info: Contains Meat, Contains Eggs, Contains Dairy.","1,260","Contains Meat, Contains Eggs, Contains Dairy",15.0
Menu,Full Java Breakfast Combo,"Full Java Breakfast Combo: Price is 1,360 KES, prep time is 15 mins, dietary info: Contains Meat, Contains Eggs, Contains Dairy.","1,360","Contains Meat, Contains Eggs, Contains Dairy",15.0
Menu,Egg & Cheese Burrito,"Egg & Cheese Burrito: Price is 1,030 KES, prep time is 12 mins, dietary info: Vegetarian, Contains Eggs, Contains Dairy.","1,030","Vegetarian, Contains Eggs, Contains Dairy",12.0
Menu,Omelette Plain,"Omelette Plain: Price is 740 KES, prep time is 8 mins, dietary info: Vegetarian, Contains Eggs.",740,"Vegetarian, Contains Eggs",8.0
Menu,Omelette Spanish,"Omelette Spanish: Price is 880 KES, prep time is 8 mins, dietary info: Vegetarian, Contains Eggs.",880,"Vegetarian, Contains Eggs",8.0
Menu,"Omelette Mushroom, Basil & Cheese","Omelette Mushroom, Basil & Cheese: Price is 980 KES, prep time is 10 mins, dietary info: Vegetarian, Contains Eggs, Contains Dairy.",980,"Vegetarian, Contains Eggs, Contains Dairy",10.0
Menu,Omelette Denver,"Omelette Denver: Price is 980 KES, prep time is 10 mins, dietary info: Contains Meat, Contains Eggs, Contains Dairy.",980,"Contains Meat, Contains Eggs, Contains Dairy",10.0
Menu,Build Your Own Omelette - Cheese,"Build Your Own Omelette - Cheese: Price is 230 KES, prep time is 2 mins, dietary info: Vegetarian.",230,Vegetarian,2.0
